customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
3957-SQXML,,0.0,es,Yes,34.0,Yes,Yes,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0
5954-BDFSG,Female,0.0,No,No,72.0,Yes,Yes,Fber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),,7853.7,0
0434-CSFON,Female,0.0,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,EYS,No,Yes,Yes,Month-to-month,Yes,Electronic check,2507.1492963913934,4707.1,0
1215-FIGMP,Male,0.0,NO,No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),2401.1492963913934,5450.7,0
0526-SXDJP,Male,0.0,Ye,No,72.0,No,,DSL,Yes,Yes,Yes,No,No,No,Two year,,Bank transfer (automatic),42.1,2962,0
0557-ASKVU,Female,,Yes,Yes,18.0,Yes,No,DSL,,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,,0
5698-BQJOH,Female,0.0,No,No,9.0,Yes,YES,FIBER OPTIC,oN,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,,857.25,1
5122-CYFXA,Female,0.0,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,,Yes,Month-to-month,Yes,,75.3,244.1,0
8627-ZYGSZ,Male,0.0,Yes,No,47.0,Yes,Yes,Fiber optic,No,,No,No,No,,One year,Yes,Electronic check,78.9,3650.35,0
3410-YOQBQ,Female,0.0,No,,31.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0
3170-NMYVV,Female,0.0,Yes,YES,50.0,Yes,No,No,,No internet service,,,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0
7410-OIEDU,Male,0.0,No,No,,Yes,No,Fiber optic,,No,Yse,No,No,No,Month-to-month,Yes,Mailed check,2300.6492963913934,887.35,0
2273-QCKXA,Male,0.0,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,,,Mailed check,49.05,49.05,0
0731-EBJQB,Female,0.0,Yes,Yes,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,,No internet service,One year,,Electronic check,20.4,1090.65,0
1891-QRQSA,Male,1.0,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,YES,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099,0
8028-PNXHQ,Male,0.0,Yes,,62.0,Yes,Yes,,No internet ervice,No internet service,No internet service,,No internet service,No internet service,,Yes,Bank transfer (automatic),24.25,1424.6,0
5630-AHZIL,Female,0.0,No,Yes,3.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0
2673-CXQEU,Female,1.0,No,No,56.0,Yes,Yes,Fiber otic,Yes,Yes,,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0
6416-JNVRK,Female,0.0,,No,46.0,Yes,No,DSL,No,No,No,No,No,,One year,,,55.65,2688.85,0
5590-ZSKRV,Female,0.0,Yes,Yes,8.0,Yes,No,DSL,Yes,Yes,No,No,No,,Month-to-month,No,Mailed check,54.65,482.25,0
0191-ZHSKZ,Male,1.0,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0
3887-PBQAO,Female,,Yes,YES,,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Credit card (automatic),25.9,1216.6,0
5919-TMRGD,Female,0.0,No,Yes,1.0,Yes,No,Fiber optic,No,,oN,No,Yes,No,,Yes,Electronic check,79.35,79.35,1
8108-UXRQN,Female,0.0,Yes,Ye,11.0,No,No phone srvice,DSL,Yes,No,No,oN,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0
9191-MYQKX,Female,0.0,Yes,No,7.0,Yes,No,Fiber optic,No,,Yes,No,No,No,Month-to-month,,Bank transfer (automatic),75.15,496.9,1
9919-YLNNG,Female,0.0,No,No,42.0,Yes,,Fiber optic,No,Ye,Yes,,,Yes,,Yes,Bank transfer (automatic),103.8,4327.5,0
0318-ZOPWS,Female,0.0,Yes,No,49.0,Yes,No,No,No internet service,No internet service,No internet service,NO INTERNET SERVICE,No internet service,No internet service,Two year,,Bank transfer (automatic),20.15,,0
4445-ZJNMU,Male,0.0,oN,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0
4808-YNLEU,Female,,Yes,No,,Yes,No,DSL,Yes,No,No,,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0
1862-QRWPE,Female,,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,,20.65,1057,0
2796-NNUFI,Female,0.0,Yes,Yes,46.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1701.6492963913934,927.1,0
3016-KSVCP,Male,0.0,Yes,No,29.0,No,No phnoe service,DL,No,No,No,oN,Yes,No,Month-to-month,No,Mailed check,33.75,0109.25,0
4767-HZZHQ,Male,0.0,Yes,Yes,30.0,Yes,No,Fiber optic,,Yes,Yes,No,,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0
2424-WVHPL,,1.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,NO,Electronic check,74.7,,0
7233-PAHHL,MALE,0.0,Yes,Yes,66.0,Yes,Yes,DSL,Yes,No,Yes,Yes,,,Two year,Yes,Mailed check,84.0,5714.25,0
6067-NGCEU,Female,0.0,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,,Yes,Month-to-onth,,Credit card (automatic),111.05,7107,0
9848-JQJTX,,0.0,No,No,72.0,Yes,Yes,Fiber optic,No,,,No,Yes,Yes,Two year,,Bank transfer (automatic),100.9,7459.05,0
8637-XJIVR,,0.0,No,No,,Yes,Yes,Fiber optic,,No,No,No,,No,Month-to-month,Yes,,78.95,927.35,1
9803-FTJCG,Male,0.0,Yes,,1938.5376145222538,Yes,Yes,DSL,Yes,Yes,No,,oN,No,Oney ear,Yes,Credit card (automatic),66.85,4748.7,0
0278-YXOOG,Male,0.0,No,No,,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,,,113.85,1
3212-KXOCR,Male,0.0,No,No,52.0,Yes,No,No,NO INTERNET SERVICE,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0
4598-XLKNJ,Female,1.0,Yes,No,,Yes,No,Fiber optic,No,Yse,YES,No,Yes,Yes,Month-to-month,Yes,Electronic check,,251.45,1
6380-ARCEH,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0
3679-XASPY,Female,0.0,Yes,,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internetservice,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0
7123-WQUHX,,0.0,No,No,38.0,Yes,Yes,Fiber optic,,oN,Yes,,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0
5386-THSLQ,Fmeale,1.0,Yes,No,66.0,No,,,No,Yes,,No,Yes,,One year,,Bank transfer (automatic),45.55,3027.25,0
3192-NQECA,MALE,,Yes,oN,,Yes,Yes,Fiber optic,No,Yse,Yes,Yes,Yes,Yes,,Yes,Bank transfer (automatic),,7611.85,1
6180-YBIQI,,,No,No,5.0,No,No phone service,DSL,NO,No,No,,No,No,Month-to-month,No,Mailed check,24.3,100.2,0
6728-DKUCO,Female,18.37901514654594,Yes,Yes,72.0,Yes,,,Yse,Yes,No,No,Yes,Yes,One year,Yes,,104.15,7303.05,0
9750-BOOHV,Female,0.0,No,No,32.0,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed hceck,30.15,927.65,0
8597-CWYHH,Male,0.0,No,,43.0,Yes,Yes,,No,No,No,No,Yes,es,One year,No,Mailed check,,3921.3,0
2848-YXSMW,Male,0.0,Yes,Yes,72.0,Yes,No,No,No internet service,No internet service,,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0
0486-HECZI,Male,0.0,Yes,oN,55.0,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,ELECTRONIC CHECK,96.75,52389.,1
4549-ZDQYY,Female,0.0,No,No,,Yes,No,DSL,Yes,,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0
5712-AHQNN,,0.0,No,No,43.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0
4846-WHAFZ,Female,1.0,,No,37.0,Yes,Yes,Fiber optic,No,No,No,,No,No,Month-to-month,,Electronic check,,2868.15,1
5256-SKJGO,Female,0.0,Yes,Yes,64.0,No,No phone service,DSL,No,Yes,,,Yes,Yes,Two year,,Electronic check,54.6,3423.5,0
3071-VBYPO,Male,0.0,Yes,Yes,3.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0
9560-BBZXK,Female,0.0,,No,36.0,No,No phone service,DSL,,No,No,No,No,No,Two year,No,,31.05,,0
5299-RULOA,Female,0.0,Yes,,10.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.25,1064.65,1
8402-OOOHJ,,18.37901514654594,,No,41.0,Yes,No,,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,0
9445-ZUEQE,Male,0.0,Yes,Yes,27.0,Yes,Yes,Fiber optic,No,Yes,No,Yes,,No,Month-to-month,,Credit card (automatic),85.2,2151.6,0
1091-SOZGA,Female,0.0,Yes,Yes,56.0,Yes,Yes,Fiber optic,No,oN,Yes,No,,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,0
2928-HLDBA,Female,0.0,No,No,6.0,Yes,No,No,No internet service,No internet service,,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,,112.75,0
0404-SWRVG,Male,0.0,No,No,3.0,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,,Electronic check,74.4,229.55,1
6497-TILVL,,0.0,Yes,,7.0,Yes,oN,DSL,,No,No,No,No,No,,No,Mailed check,50.7,350.35,0
7219-TLZHO,Female,0.0,Yes,Yes,4.0,Yes,No,No,No internet service,,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,0
4622-YNKIJ,Male,0.0,No,No,33.0,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,,88.95,3027.65,0
4412-YLTKF,Female,,No,No,27.0,Yes,Yes,,No,No,Yes,No,,,Month-to-month,Yes,Electronic check,78.05,2135.5,1
6734-PSBAW,,0.0,Yes,No,,Yes,Yes,No,No internet service,No internet service,No internet service,,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1737.6492963913934,1723.95,0
3930-ZGWVE,Male,0.0,No,No,1238.5376145222538,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,,19.75,0
2639-UGMAZ,,1.0,No,,71.0,No,No phone service,DSL,Yes,Yes,No,oN,Yes,Yes,One year,Yes,Electronic check,,3985.35,0
2876-GZYZC,Female,0.0,No,No,13.0,Yes,Yes,Fiber optic,No,No,No,,,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,0
6207-WIOLX,Female,,Yes,Yes,25.0,No,,DSL,Yes,Yes,Yes,,Yes,Yes,Month-to-month,,Credit card (automatic),58.6,1502.65,1
8587-XYZSF,Male,0.0,No,No,67.0,Yes,No,DLS,No,No,,Yes,No,No,Two year,No,Bank transfer (automatic),50.55,3260.1,0
3091-FYHKI,Male,0.0,,NO,1.0,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,35.45,1
2372-HWUHI,Male,0.0,No,,2.0,Yes,No,DSL,No,No,,,No,No,Month-to-month,NO,Electronic check,44.35,81.25,1
7799-LGRDP,Female,0.0,No,No,43.0,Yes,Yes,No,No internet service,N internet service,No internet srvice,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),25.7,1188.2,0
7850-VWJUU,Female,0.0,No,No,23.0,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.0,1778.5,0
3774-VBNXY,Female,0.0,Yes,Yes,64.0,Yes,No,No,No niternet service,No internet service,No internet service,No internet servcie,No internet service,No internet service,Two year,No,Mailed check,20.2,1277.75,0
6217-KDYWC,Male,0.0,No,Yes,57.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.6,1170.55,0
0390-DCFDQ,Female,1.0,Yes,,1.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,,70.45,1
3146-MSEGF,Female,1.0,,Yes,72.0,Yes,Yes,DSL,Yes,eYs,Yes,Yes,,Yes,Two year,Yes,Credit card (automatic),88.05,6425.65,0
4080-OGPJL,Female,0.0,No,No,8.0,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,71.15,563.65,1
1095-WGNGG,Female,0.0,Yes,No,61.0,Yes,Yes,Fiber optic,No,Yes,No,No,,Yes,Two year,Ys,,101.05,5971.25,0
2636-SJDOU,Male,0.0,No,,64.0,Yes,Yes,Fiber optic,,Yes,No,No,No,,One year,Yes,Credit card (automatic),84.3,5289.05,0
1131-QQZEB,Male,1.0,Yes,No,71.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),23.95,1756.2,0
5716-EZXZN,Female,0.0,Yes,Yes,65.0,Yes,Yes,,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),99.05,6416.7,0
6837-BJYDQ,,0.0,,No,3.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,,Mailed check,19.6,61.35,0
2135-RXIHG,Male,0.0,No,No,1.0,Yes,No,DSL,No,No,No,NO,No,No,Month-to-month,Yes,Electronic check,45.65,45.65,1
6440-DKQGE,MALE,0.0,No,Yes,30.0,Yes,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),64.5,1929.95,0
3466-BYAVD,Male,0.0,Yes,Yes,15.0,Yes,No,DSL,No,Yes,Yes,Yes,,Yes,,Yes,Mailed check,69.5,1071.4,0
3780-YVMFA,Female,0.0,Yes,Yes,8.0,Yes,,DSL,No,No,oN,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,68.55,564.35,0
3874-EQOEP,Male,0.0,No,No,7.0,Yes,YES,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,95.0,655.5,1
1679-JRFBR,Female,0.0,Yes,,70.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,,Credit card (atuomatic),108.15,7930.55,0
9073-ZZIAY,aMle,0.0,Yes,Yes,62.0,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,YES,Two year,No,Electronic check,86.1,5215.25,0
3077-RSNTJ,,0.0,Yes,Yes,6.0,Yes,oN,No,No internet service,No internet service,No internet service,No internet service,,No internet service,Month-to-month,No,Mailed check,19.7,113.5,0
6551-GNYDG,,,Yes,Yes,14.0,Yes,No,Fiber optic,No,,No,NO,No,Yes,Month-to-month,Yes,Bank transfer (automatic),80.9,1152.8,0
9167-APMXZ,Female,0.0,No,No,22.0,Yes,Yes,,No,No,No,No,Yes,No,Month-to-month,Yes,Bakn transfer (automatic),84.15,1821.95,0
2749-CTKAJ,Male,0.0,Yes,Yes,22.0,Yes,,No,,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,,1703.6492963913934,419.9,0
6371-NZYEG,Male,18.37901514654594,Yes,Yes,16.0,Yes,No,SDL,Yes,No,Yes,No,Yes,No,TWO YEAR,No,Mailed check,64.25,1024,0
7554-NEWDD,Male,0.0,,No,10.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,No,Bank transfer (automatic),25.7,251.6,0
8992-VONJD,Female,0.0,No,Yes,13.0,Yes,No,DSL,Yes,Yes,No,NO,No,No,Month-to-month,Yes,Electronic check,56.0,764.55,0
0867-MKZVY,Female,0.0,Yes,No,20.0,Yes,Yes,Fiber optic,Yes,No,NO,No,No,No,Month-to-month,No,Electronic check,82.4,1592.35,1
4482-EWFMI,,0.0,,,2.0,Yes,No,Fiber optic,No,No,No,No,No,No,,Yes,Electronic check,69.7,135.2,0
4648-YPBTM,Male,,No,No,53.0,Yes,Yes,DSL,No,Yes,,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),73.9,,0
2907-ILJBN,Female,,Yes,Yes,11.0,Yes,,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.6,233.9,0
6345-FZOQH,Male,0.0,Yes,oN,69.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,,Two year,No,Mailed check,19.9,1363.45,0
3376-BMGFE,Female,0.0,No,No,4.0,Yes,No,Fiber optic,oN,No,No,No,No,,Month-to-month,Yes,Bank transfer (automatic),70.9,273,1
5997-OPVFA,Male,0.0,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Ye,Two year,Yes,Bank transfer (automatic),89.05,6254.45,0
3445-HXXGF,Male,1.0,Yes,oN,58.0,No,No phone service,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,,Electronic check,45.3,2651.2,1
1159-WFSGR,Female,0.0,Yes,Yes,,Yes,No,No,No internet service,No interne service,,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,20.4,321.4,0
7654-YWJUF,Male,0.0,Yes,No,43.0,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,,One year,Yes,Bank transfer (automatic),84.25,3539.25,0
