person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
24.0,225000,RENT,0.0,MEDICAL,B,6000.0,,0.0,0.03,N,
24.0,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500.0,11.83,1.0,0.35,N,4.0
23.0,12996,OWN,0.0,DEBTCONSOLIDATION,,2400.0,13.49,1.0,0.18,Y,2.0
22.0,42000,RENT,6.0,MEDICAL,,25000.0,14.59,1.0,0.6,Y,2.0
26.0,48000,RENT,2.0,EDUCATION,B,25000.0,9.64,1.0,0.52,N,4.0
25.0,12996,OWN,,MEDICAL,D,3600.0,14.59,1.0,,N,3.0
,12996,OWN,1.0,EDUCATION,B,4750.0,,1.0,0.37,N,3.0
25.0,42360,RENT,,EDUCATION,,25000.0,16.35,1.0,0.59,Y,3.0
21.0,49000,RENT,,EDUCATION,B,25000.0,10.99,,,,
25.0,225000,MORTGAGE,0.0,,F,25000.0,18.67,,0.11,N,2.0
26.0,225000,RENT,1.0,EDUCATION,,3000.0,255.124613390021,20.65193366464861,0.01,,4.0
23.0,225000,RENT,8.0,DEBTCONSOLIDATION,A,7500.0,8.63,0.0,0.03,N,
26.0,225000,MORTGAGE,2.0,VENTURE,B,25000.0,,0.0,0.11,N,2.0
,49464,RENT,5.0,PERSONAL,,25000.0,11.83,1.0,0.51,N,231.97373313795518
23.0,50000,RENT,1.0,DEBTCONSOLIDATION,A,565651.2915151718,7.9,1.0,0.5,N,3.0
25.0,50000,RENT,4.0,HOMEIMPROVEMENT,A,25000.0,5.99,1.0,0.5,N,2.0
24.0,44000,RENT,2.0,,,25000.0,15.33,,0.57,N,2.0
23.0,50000,RENT,1.0,,B,25000.0,11.83,,0.5,,
22.0,50004,RENT,0.0,VENTURE,B,25000.0,10.36,1.0,0.5,,2.0
22.0,50004,RENT,3.0,VENTURE,,25000.0,12.23,1.0,0.5,N,3.0
22.0,52000,RENT,2.0,EDUCATION,B,25000.0,11.11,1.0,,N,4.0
23.0,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950.0,7.9,1.0,0.38,N,4.0
24.0,220000,MORTGAGE,1.0,EDUCATION,B,25000.0,11.58,0.0,0.11,N,2.0
23.0,216000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000.0,8.9,0.0,0.1,N,3.0
,216000,,2.0,EDUCATION,D,25000.0,16.07,0.0,,N,3.0
,216000,MORTGAGE,10.0,,C,20000.0,,0.0,0.09,Y,2.0
23.0,215000,MORTGAGE,7.0,MEDICAL,C,,14.79,0.0,,Y,3.0
,215000,MORTGAGE,11.0,EDUCATION,A,12000.0,7.88,0.0,0.06,N,2.0
23.0,52000,RENT,1.0,PERSONAL,C,,13.22,1.0,0.48,N,2.0
,46000,RENT,2.0,DEBTCONSOLIDATION,D,,11.86,1.0,0.54,N,4.0
22.0,53000,RENT,5.0,EDUCATION,C,25000.0,13.43,1.0,,Y,4.0
26.0,47000,RENT,0.0,HOMEIMPROVEMENT,,25000.0,15.28,1.0,0.53,Y,
23.0,47000,RENT,1.0,VENTURE,,25000.0,17.93,1.0,0.53,,2.0
23.0,13200,MORTGAGE,2.0,EDUCATION,,1400.0,9.25,0.0,0.11,N,4.0
21.0,13200,OWN,,VENTURE,C,4500.0,,1.0,0.34,N,4.0
,210000,MORTGAGE,6.0,VENTURE,B,16000.0,10.62,0.0,0.08,N,4.0
26.0,210000,OWN,10.0,PERSONAL,B,22000.0,11.83,0.0,0.1,N,4.0
,48000,RENT,5.0,VENTURE,F,25000.0,346.22461339002103,1.0,0.52,N,2.0
22.0,54996,RENT,6.0,,B,25000.0,,1.0,0.45,N,4.0
24.0,55000,RENT,4.0,HOMEIMPROVEMENT,D,25000.0,,1.0,0.45,Y,4.0
23.0,55000,RENT,4.0,EDUCATION,B,25000.0,11.36,1.0,,N,3.0
23.0,55000,,4.0,EDUCATION,,,15.65,1.0,0.45,Y,3.0
24.0,55164,RENT,8.0,PERSONAL,C,25000.0,13.22,1.0,0.45,Y,4.0
,56000,,4.0,DEBTCONSOLIDATION,C,25000.0,12.87,1.0,0.45,N,221.97373313795518
24.0,203500,OWN,8.0,MEDICAL,C,515651.2915151717,13.04,0.0,0.1,N,3.0
23.0,190000,MORTGAGE,,EDUCATION,F,22000.0,17.58,1.0,0.12,Y,3.0
23.0,13920,OWN,2.0,PERSONAL,E,7750.0,17.04,1.0,0.56,N,4.0
24.0,60000,RENT,0.0,PERSONAL,B,25000.0,10.99,1.0,0.42,N,3.0
24.0,60000,,,PERSONAL,B,565651.2915151718,11.11,1.0,0.42,N,
26.0,54000,RENT,277.32559472570597,DEBTCONSOLIDATION,D,25000.0,14.83,1.0,0.46,Y,2.0
23.0,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000.0,,1.0,0.29,N,3.0
24.0,200000,RENT,8.0,MEDICAL,B,12000.0,12.69,0.0,0.06,N,2.0
24.0,200000,MORTGAGE,,HOMEIMPROVEMENT,C,12000.0,13.49,0.0,0.06,N,2.0
21.0,200000,MORTGAGE,5.0,EDUCATION,C,16000.0,14.65,0.0,,N,4.0
25.0,54000,RENT,3.0,HOMEIMPROVEMENT,,25000.0,16.82,1.0,0.46,N,4.0
23.0,60000,RENT,3.0,PERSONAL,C,25000.0,12.73,1.0,9.552991506026522,N,
23.0,60000,RENT,7.0,PERSONAL,B,25000.0,,1.0,0.42,N,
21.0,60000,RENT,6.0,EDUCATION,B,25000.0,10.99,1.0,0.42,N,4.0
25.0,61959,RENT,,MEDICL,C,25000.0,,1.0,0.4,N,2.0
22.0,56400,RENT,2.0,HOMEIMPROVEMENT,D,25000.0,14.96,1.0,0.44,Y,3.0
23.0,200000,MORTGAGE,7.0,EDUCATION,A,28000.0,,0.0,0.14,N,
21.0,200000,MORTGAGE,,DEBTCONSOLIDATION,C,,13.99,0.0,0.13,N,2.0
24.0,200000,,3.0,VENTURE,A,24000.0,7.49,0.0,0.12,N,4.0
26.0,200000,MORTGAGE,4.0,EDUCATION,C,15000.0,14.79,0.0,0.07,N,3.0
25.0,200000,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500.0,,0.0,0.08,N,
24.0,200000,REN,8.0,EDUCATION,A,,,0.0,0.05,N,4.0
24.0,66000,RENT,,EDUCATION,B,25000.0,9.91,1.0,,N,2.0
22.0,66000,RENT,,EDUCATION,C,25000.0,13.06,1.0,0.38,Y,
,200000,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000.0,6.17,,0.04,N,4.0
144.0,200000,MORTGAGE,4.0,,B,6000.0,11.86,0.0,0.03,N,2.0
25.0,200000,REN,5.0,EDUCATION,D,18000.0,,0.0,0.09,N,3.0
25.0,200000,,2.0,VENTURE,B,12000.0,10.38,0.0,0.06,N,2.0
25.0,200000,MORTGAGE,9.0,PERSONAL,C,23050.0,305.424613390021,0.0,0.12,N,
24.0,200000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000.0,,0.0,0.1,N,3.0
24.0,60000,RENT,2.0,DEBTCONSOLIDATION,E,25000.0,,1.0,0.42,Y,2.0
21.0,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000.0,,1.0,0.21,N,4.0
26.0,66996,RENT,10.0,PERSONAL,D,25000.0,,1.0,0.37,Y,2.0
23.0,67000,RENT,3.0,EDUCATION,A,25000.0,,1.0,0.37,N,4.0
24.0,67000,,2.0,VENTURE,B,,10.99,1.0,0.37,N,3.0
24.0,68000,RENT,5.0,PERSONAL,D,25000.0,14.09,1.0,0.37,Y,3.0
25.0,69000,RENT,9.0,PERSONAL,D,25000.0,17.49,1.0,0.36,N,2.0
25.0,200000,MORTGAGE,207.32559472570594,EDUCATION,B,12000.0,11.48,20.65193366464861,5.952991506026522,,3.0
26.0,188000,MORTGAGE,10.0,VENTURE,E,20000.0,17.74,1.0,0.11,N,2.0
26.0,200000,MORTGAGE,4.0,PERSONAL,C,3000.0,13.92,0.0,0.01,N,3.0
25.0,69996,RENT,9.0,EDUCATION,D,25000.0,15.21,1.0,0.36,N,3.0
,14400,OWN,2.0,,,4000.0,10.99,1.0,0.28,N,3.0
24.0,70000,RENT,3.0,EDUCATION,B,25000.0,11.86,1.0,0.36,N,4.0
24.0,14400,OWN,5.0,,A,6000.0,7.49,,0.42,N,3.0
24.0,56100,RENT,7.0,MEDICAL,D,25000.0,16.49,1.0,0.38,N,4.0
25.0,66000,RENT,9.0,VENTURE,D,25000.0,15.33,1.0,0.38,Y,
26.0,66000,RENT,3.0,HOMEIMPROVEMENT,B,25000.0,11.58,1.0,0.38,N,4.0
25.0,14400,,7.0,EDUCATION,A,5375.0,5.79,1.0,0.37,N,2.0
25.0,72612,RENT,9.0,MEDICAL,C,25000.0,293.02461339002105,1.0,0.34,N,2.0
23.0,74000,RET,3.0,MEDICAL,B,25000.0,10.36,1.0,0.34,N,3.0
25.0,75000,RENT,9.0,,B,25000.0,10.36,1.0,0.33,N,2.0
24.0,192000,RENT,0.0,MEDICAL,C,22000.0,,0.0,0.11,Y,221.97373313795518
21.0,192000,MORTGAGE,123.0,VENTURE,,20000.0,,0.0,0.1,N,4.0
25.0,191000,MORTGAGE,1.0,MEDIAL,B,10000.0,12.53,0.0,0.05,N,4.0
26.0,190300,MORTGAGE,5.0,PERSONAL,A,465651.2915151717,,0.0,,N,3.0
22.0,190000,MORTGAGE,3.0,VENTURE,C,10000.0,,0.0,0.05,N,3.0
24.0,75000,RENT,4.0,,B,25000.0,10.25,1.0,0.33,,241.97373313795518
22.0,71000,RENT,1.0,EDUCATION,D,25000.0,15.95,1.0,0.35,Y,4.0
26.0,190000,MORTGAGE,3.0,,B,20000.0,,0.0,0.11,,4.0
23.0,189996,OWN,0.0,PERSONAL,B,555651.2915151718,11.83,0.0,0.13,N,3.0
,78000,RENT,7.0,DEBTCNOSOLIDATION,C,25000.0,,1.0,0.32,,2.0
23.0,78000,RENT,1.0,VENTURE,,25000.0,10.62,1.0,0.32,,3.0
23.0,78504,RENT,7.0,VENTURE,B,25000.0,10.74,1.0,0.32,N,
25.0,186000,OWN,9.0,VENTURE,B,10000.0,10.25,0.0,5.852991506026522,,4.0
24.0,185000,,,EDUCATION,B,35000.0,12.42,0.0,7.252991506026522,,2.0
25.0,185000,RENT,6.0,VENTURE,C,15000.0,15.27,0.0,,,2.0
24.0,62050,RENT,8.0,MEDICAL,D,,,1.0,,Y,2.0
23.0,79416,,7.0,VENTURE,,25000.0,15.21,1.0,0.31,Y,2.0
21.0,14400,OWN,4.0,VENTURE,C,,14.72,1.0,9.652991506026522,N,2.0
24.0,79631,RENT,8.0,PERSONAL,D,25000.0,15.7,,0.31,Y,2.0
24.0,79632,RENT,0.0,EDUCATION,C,25000.0,,1.0,0.31,N,4.0
21.0,14400,MORTGAGE,0.0,MEDICAL,C,1500.0,,0.0,0.1,N,4.0
24.0,80000,RENT,6.0,,A,25000.0,,1.0,0.31,N,2.0
26.0,80000,,5.0,,C,25000.0,13.61,1.0,0.31,N,4.0
22.0,185000,RENT,4.0,MEDICAL,B,25000.0,11.36,,0.14,N,2.0
26.0,185000,OWN,10.0,PERSONAL,A,5000.0,7.68,,0.03,N,2.0
24.0,184992,RENT,7.0,HOMEIMPROVEMENT,,22000.0,14.46,0.0,0.12,Y,4.0
23.0,184000,OWN,5.0,EDUCATION,B,2500.0,11.83,0.0,0.01,,2.0
24.0,172000,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000.0,13.47,1.0,0.12,Y,4.0
24.0,183000,MORTGAGE,2.0,MEDICAL,B,20000.0,11.49,20.65193366464861,0.11,N,3.0
22.0,183000,MORTGAGE,3.0,EDUCATION,A,1000.0,,0.0,,N,2.0
,182952,MORTGAGE,9.0,PERSONAL,A,15000.0,6.03,,0.08,N,3.0
,74004,RENT,7.0,DEBTCONSOLIDATION,E,25000.0,,1.0,0.34,N,4.0
26.0,74004,RENT,10.0,DEBTCONSOLIDATION,D,25000.0,,1.0,0.34,Y,4.0
25.0,81000,RNET,5.0,DEBTCONSOLIDATION,A,25000.0,7.29,1.0,0.31,,3.0
23.0,81600,RENT,1.0,MEDICAL,B,25000.0,11.36,1.0,0.31,N,3.0
24.0,82000,RET,8.0,VENTURE,B,25000.0,10.25,0.0,0.3,N,2.0
24.0,83000,RENT,5.0,EDUCATION,B,25000.0,11.12,0.0,0.3,N,3.0
24.0,83000,RENT,5.0,PERSONAL,D,25000.0,,0.0,8.352991506026523,Y,
24.0,180000,RENT,8.0,,E,18000.0,18.64,,0.1,Y,4.0
23.0,180000,MORTGAGE,8.0,PERSONAL,A,28000.0,7.51,0.0,,N,3.0
,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000.0,16.7,1.0,0.28,N,2.0
22.0,14400,,0.0,PERSONAL,,2100.0,11.14,0.0,0.15,N,4.0
22.0,84500,RENT,6.0,PERSONAL,F,25000.0,18.3,0.0,0.3,N,4.0
558.1938274525821,85000,RENT,5.0,MEDICAL,B,25000.0,10.62,0.0,0.29,N,4.0
,180000,MORTGAGE,7.0,VENTURE,B,14000.0,11.99,0.0,0.08,N,2.0
26.0,180000,MORTGAGE,2.0,VENTURE,B,12000.0,9.63,0.0,0.07,N,4.0
,142800,MORTGAGE,9.0,MEDICAL,F,10000.0,18.25,1.0,0.06,N,4.0
23.0,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000.0,,,0.41,N,4.0
24.0,87000,RENT,8.0,,D,25000.0,14.84,,0.29,N,3.0
24.0,75000,RENT,0.0,VENTURE,,25000.0,14.7,1.0,0.33,,3.0
23.0,76000,RENT,7.0,DEBTCONSOLIDATION,D,565651.2915151718,16.02,1.0,0.33,N,4.0
23.0,66215,RENT,1.0,MEDICAL,D,25000.0,15.37,1.0,0.32,Y,
25.0,90000,RENT,9.0,MEDICAL,B,,10.99,0.0,0.28,N,4.0
21.0,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200.0,7.9,1.0,0.41,N,2.0
26.0,180000,OWN,2.0,PERSONAL,B,25000.0,10.99,0.0,,,4.0
24.0,180000,OWN,,,B,21000.0,11.48,0.0,0.12,N,3.0
25.0,180000,OWN,9.0,MEDICAL,C,20000.0,14.26,0.0,0.11,Y,4.0
26.0,180000,OWN,,HOMEIMPROVEMENT,A,10000.0,8.0,0.0,,N,4.0
25.0,180000,MORTGAGE,,,B,9950.0,11.26,0.0,0.06,N,2.0
23.0,15000,OWN,7.0,MEDICAL,B,4475.0,,1.0,0.3,N,4.0
23.0,78000,RENT,2.0,VENTURE,D,25000.0,16.32,1.0,0.32,Y,3.0
25.0,66300,RENT,3.0,MEDICAL,E,25000.0,17.93,30.65193366464861,0.32,Y,4.0
23.0,90000,RENT,0.0,DEBTCONSOLIDATION,B,25000.0,11.36,0.0,0.28,N,3.0
24.0,79000,,9.0,DEBTCONSOLIDATION,D,565651.2915151718,14.96,1.0,0.32,Y,4.0
24.0,91800,RENT,4.0,PERSONAL,C,25000.0,13.43,0.0,0.27,Y,3.0
25.0,92000,RENT,6.0,HOMEIMPROVEMENT,B,25000.0,12.69,,0.27,N,3.0
24.0,92000,ERNT,1.0,VENTURE,C,25000.0,12.73,0.0,0.27,,
23.0,93600,RENT,3.0,,D,25000.0,15.21,0.0,0.27,N,
23.0,15000,,1.0,MEDICAL,C,1750.0,12.68,0.0,0.12,Y,3.0
23.0,70550,RENT,3.0,MEDICAL,,25000.0,19.04,1.0,0.3,Y,4.0
25.0,83800,RENT,2.0,DEBTCONSOLIDATION,D,25000.0,,1.0,0.3,Y,3.0
26.0,175000,MORTGAGE,3.0,VENTURE,A,2600.0,8.9,0.0,0.01,N,4.0
25.0,175000,MORTGAGE,10.0,HOMEIMPROVEMENT,A,8000.0,7.9,0.0,0.05,N,
22.0,175000,MORTGAGE,,EDUCATION,B,18000.0,,0.0,0.1,N,2.0
23.0,175000,MORTGAGE,8.0,PERSONAL,B,21000.0,11.99,0.0,0.12,N,3.0
23.0,15000,OWN,4.0,DEBTCONSOLIDATION,C,4000.0,13.98,1.0,0.27,N,4.0
23.0,15000,OWN,4.0,VENTURE,B,4600.0,10.99,1.0,0.31,N,2.0
22.0,88000,RENT,6.0,DEBTCONSOLIDATION,D,25000.0,15.58,1.0,0.28,Y,2.0
25.0,74800,RENT,2.0,,B,25000.0,10.99,1.0,0.28,N,2.0
25.0,88000,RENT,0.0,VENTRUE,D,25000.0,14.96,1.0,0.28,N,4.0
25.0,15000,OWN,2.0,HOMEIMPROVEMENT,,1750.0,,0.0,,Y,4.0
26.0,88000,RENT,2.0,VENTURE,D,25000.0,,30.65193366464861,0.28,N,3.0
25.0,100000,RETN,1.0,VENTURE,B,25000.0,9.33,0.0,0.25,N,4.0
23.0,15000,MORTGAGE,0.0,,,3600.0,13.47,,0.24,N,4.0
24.0,102400,RENT,8.0,PERSONAL,,25000.0,10.36,0.0,0.24,N,3.0
